ID,city,NO,VMDPP,VMKMT,VMOTHER,VCDPP,VCKMT,VCOTHER,VP
B510,B,510,363,432,8,298,407,85,1
B511,B,511,369,471,6,271,412,153,1
B512,B,512,531,465,4,453,339,194,1
B513,B,513,487,398,6,359,333,191,1
B514,B,514,338,421,7,217,402,146,1
B515,B,515,375,374,11,213,394,137,1
B516,B,516,356,340,10,182,411,116,1
B517,B,517,424,442,7,287,417,149,1
B518,B,518,363,307,12,204,348,115,1
B519,B,519,374,404,8,264,352,167,1
B520,B,520,484,360,16,345,350,168,1
B521,B,521,493,434,11,309,407,222,1
B522,B,522,473,555,12,241,555,251,1
B523,B,523,537,438,11,282,467,236,1
B524,B,524,491,739,16,317,480,426,1
B525,B,525,523,577,24,322,369,429,1
B526,B,526,491,661,10,332,384,422,1
B527,B,527,358,634,10,201,450,344,1
B528,B,528,452,518,10,279,334,350,1
B529,B,529,399,479,13,274,311,297,1
B530,B,530,421,742,14,272,515,365,1
B531,B,531,475,685,10,299,475,375,1
B532,B,532,548,715,12,321,451,500,1
B533,B,533,521,666,6,356,603,223,1
B534,B,534,459,503,11,323,506,148,1
B535,B,535,467,639,17,291,608,183,1
B536,B,536,521,616,20,323,515,302,1
B537,B,537,483,729,19,289,546,383,1
B538,B,538,424,738,13,272,567,316,1
B539,B,539,423,588,8,285,457,267,1
B540,B,540,414,527,9,268,450,221,1
B541,B,541,368,498,4,210,442,214,1
B542,B,542,472,540,10,297,361,352,1
B543,B,543,448,530,16,351,465,170,1
B544,B,544,452,485,15,295,422,185,1
B545,B,545,577,609,11,428,402,351,1
B546,B,546,590,645,10,430,442,361,1
B547,B,547,551,607,19,403,442,329,1
B548,B,548,429,566,11,332,395,267,1
B549,B,549,401,465,8,280,341,233,1
B550,B,550,437,620,13,316,406,335,1
B551,B,551,441,597,11,286,403,353,1
B552,B,552,391,645,16,245,469,327,1
B553,B,553,480,582,14,180,219,671,1
B554,B,554,608,611,10,217,179,833,1
B555,B,555,487,597,10,232,235,623,1
B556,B,556,362,442,16,146,183,490,1
B557,B,557,369,510,13,179,244,457,1
B558,B,558,383,525,9,186,264,456,1
B559,B,559,490,620,17,254,329,542,1
B560,B,560,246,768,9,127,531,350,1
B561,B,561,334,597,13,159,414,360,1
B562,B,562,467,513,9,233,326,419,1
B563,B,563,600,685,30,230,330,754,1
B564,B,564,439,527,14,217,283,471,1
B565,B,565,395,498,22,213,357,327,1
B566,B,566,424,603,7,259,416,343,1
B567,B,567,422,474,15,194,404,286,1
B568,B,568,201,861,9,117,694,242,1
B569,B,569,208,821,9,108,644,252,1
B570,B,570,458,425,11,483,287,117,1
B571,B,571,294,443,4,272,383,89,1
B572,B,572,328,481,12,301,374,145,1
B573,B,573,509,568,16,430,437,209,1
B574,B,574,395,544,9,334,411,198,1
B575,B,575,496,481,15,411,331,237,1
B576,B,576,501,548,6,401,401,243,1
B577,B,577,461,637,16,448,465,192,1
B578,B,578,300,420,5,282,304,136,1
B579,B,579,353,487,13,369,315,156,0
B580,B,580,459,669,13,325,669,145,1
B581,B,581,432,593,12,345,506,172,1
B582,B,582,429,619,8,404,453,178,1
B583,B,583,292,504,5,249,442,113,1
B584,B,584,503,699,12,422,586,183,1
B585,B,585,461,667,9,391,581,165,1
B586,B,586,407,645,9,307,430,317,1
B587,B,587,477,724,9,407,551,223,1
B588,B,588,453,622,8,421,471,182,0
B589,B,589,392,520,12,344,399,147,0
B590,B,590,368,627,6,345,473,175,0
B591,B,591,321,447,4,260,361,138,1
B592,B,592,325,477,8,295,250,240,1
B593,B,593,390,649,11,343,370,302,1
B594,B,594,419,733,5,362,416,362,1
B595,B,595,418,562,15,321,345,303,1
B596,B,596,458,534,13,370,395,225,1
B597,B,597,387,540,6,323,426,176,1
B598,B,598,387,581,7,339,432,179,1
B599,B,599,397,616,11,425,460,140,1
B600,B,600,429,639,8,468,439,156,1
B601,B,601,338,533,3,420,346,107,1
B602,B,602,500,647,11,527,458,157,1
B603,B,603,430,523,13,459,368,132,1
B604,B,604,251,477,8,328,321,88,1
B605,B,605,625,709,16,712,432,198,1
B606,B,606,521,557,16,547,393,154,1
B607,B,607,522,557,13,613,326,131,1
B608,B,608,464,536,6,503,353,137,1
B609,B,609,482,594,15,519,371,191,1
B610,B,610,430,735,10,471,509,167,1
B611,B,611,536,680,17,613,417,183,1
B612,B,612,508,470,13,537,307,141,1
B613,B,613,408,486,7,460,337,92,1
B614,B,614,618,699,14,613,505,212,1
B615,B,615,598,689,15,563,487,238,1
B616,B,616,589,581,11,616,423,139,1
B617,B,617,568,666,15,440,389,386,1
B618,B,618,404,269,10,398,144,129,1
B619,B,619,529,534,8,437,341,287,1
